gameId|platformId|gameCreation|gameDuration|queueId|mapId|seasonId|gameVersion|gameMode|gameType
3525057296|NA1|1596817666875|1685|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3525057131|NA1|1596817531928|2428|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3525051562|NA1|1596813664690|2065|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3525042736|NA1|1596814454032|1141|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3525042691|NA1|1596814460035|1731|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3525040483|NA1|1596812785674|1472|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3525038917|NA1|1596818393786|1467|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3525037860|NA1|1596817718091|1651|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3525037407|NA1|1596817418535|1326|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3525036186|NA1|1596816627721|2100|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3525035835|NA1|1596816407748|1339|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3525030202|NA1|1596812376885|1363|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3525029738|NA1|1596812011579|1942|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3525026669|NA1|1596816985744|1863|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3525023898|NA1|1596815034934|1575|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3525023268|NA1|1596814553532|1385|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3525021483|NA1|1596813336346|1896|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3525016568|NA1|1596816856372|1886|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3525009735|NA1|1596811852571|1174|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3525005270|NA1|1596815918344|1765|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3525002370|NA1|1596813846675|1261|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3525002243|NA1|1596813714972|2128|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3525000986|NA1|1596812851764|1840|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3525000466|NA1|1596812431941|1507|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3525000067|NA1|1596812054064|1388|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524996267|NA1|1596816515601|1228|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524995919|NA1|1596816262514|1490|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524995663|NA1|1596816050638|1956|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524986291|NA1|1596809286604|2195|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524982283|NA1|1596805204733|1666|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524980142|NA1|1596802677931|2461|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524974744|NA1|1596807839229|1745|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524964137|NA1|1596806885766|1671|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524962561|NA1|1596805144080|1581|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524960408|NA1|1596802650963|961|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524959408|NA1|1596811660495|1596|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524954545|NA1|1596807190065|1750|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524950433|NA1|1596802548130|2101|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524947740|NA1|1596810135239|2054|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524947698|NA1|1596810123408|956|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524947427|NA1|1596809888044|1673|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524933248|NA1|1596805598069|1337|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524928213|NA1|1596810458998|1403|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524927638|NA1|1596809936533|1796|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524925144|NA1|1596807603348|1709|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524921920|NA1|1596804011525|1619|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524918262|NA1|1596800284835|1807|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524916518|NA1|1596798011362|1844|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524915714|NA1|1596797024545|1456|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524909386|NA1|1596801652897|1416|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524907395|NA1|1596798996235|946|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524905264|NA1|1596796447216|1693|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524905006|NA1|1596796126602|1353|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524902120|NA1|1596793058678|1411|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524900428|NA1|1596791416593|1229|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
3524899619|NA1|1596801636940|1935|420|11|13|10.16.330.9186|CLASSIC|MATCHED_GAME
