puuid|accountId|summonerId|region|tier|summonerName|leaguePoints|rank|wins|losses|veteran|inactive|freshBlood|hotStreak|profileIconId|revisionDate|summonerLevel
5ZznuiY5U-YltCCIeDnRAlKFEnxuB0yGHlKTCU8kIlQYRhynDdHhJckl5A8Un2od9IwVCZsNqSJENA|pfifI5A_6TQzCJD9lOpEPXjFEZXgKCPC-j8ikcvTVorRQqFFtN6I8IQu|cW3L9FfUCZ7j1q2tAsEdAXWDP6HQ3fsP3ZufHSuW8uIru08|kr|master|군밤군밤|156|I|84|59|False|False|False|False|1160|1595996564000|106
pQvME0g406MGUjNY-Xn2WR8pz5QEy79_9o9ran_Ced-N4ms2uBeiIxNQLMphl1m0loPOwibFe8h40A|Kgi8f3UPNOEbaWr4ZpnT4JAAPO5J5A3aSPY4Ao4eX8iD|R4rSOco-2vi0OCOlOaSnHnYwX_ugRUnkqxPO4kotkhRyjQ|kr|master|움찔교향곡|109|I|222|205|False|False|False|False|508|1596080899000|143
FCqE3vpWtSpUf0qeka5u2mmc0aubOmMPbM49polXyfM1_P1OGrlnnQmNyy8Oce7VsPB3GPtSxD5f1Q|xKfzpl6KcpOemknqipFfEBY5bBg-vgLPRHl369vUbpcko3G7_rGPnNL7|j-_QEmtUaVnqxN_u44vILoso6EhlCom4DXluUEYF1JO3Qyg|kr|master|코뚱잉|0|I|845|825|False|False|True|False|15|1595765487000|185
voSr8vu4eMsJIh6cJX5ODfF8UYEid0jg3jCo9cKvtDm1lwHbzcdl53qSzwvlKa9gwI4L2bbxV1MviQ|F6OUtwClu56lXCr3ZxVQDbfVP8DM4kXoGa99hra_Dra5ABs|X7uX5lW5A5C1PnlsfZGpTQugL_PBbvwaY8XYIaoxOrNm5MU|kr|master|혼자두면돌연사함|145|I|858|839|False|False|False|False|4655|1596080774000|336
XOK1QJeGk25zpPn8lQeQmwl6UxuK8QTfy5TZU9i-3c4q-3n3R0CNkQmamGZSpe4bAMjfuP_krZS0Zg|Gv5En1cLKdA3fO-UAjfFdhR85SB40cSTAjBEpixUeEAC|la4DGgh9yO_ne1aL_x5rQJaQEhDOf4wAlmh-sNXGD76TLKA|kr|master|Crouss|25|I|499|484|False|False|False|False|4568|1596086704000|348
y-OiHk_HFGSpLkLRIsjJdBMt7JUQLXqacv3M-fYUzNfLNtUF5lbtDOfN7fNYthXV_RiYnFZifImOpA|rU3LxvlJKrqOiJ9UXLDzwZnsCQx-HrahJB36Gfv3lCGe|WETd8LY6fL8WhKB1oZKsyOvo3r7dWHUNDCncoIiQbXqkyQ|kr|master|절제미|128|I|199|185|False|False|False|False|782|1596081051000|222
FOJwzQv5SIp-3VZrdEhMyiFivEFf0Yla2OMma0bVgGP1LdPiJhkbxR_xNssB_yRPlS2upVH24lcmeA|d_J1Lood-vkZs8DmsLtouJ9qgNMUFYJeVGzbxGslQxWNVgc|EJv512TKAfqs_OyQ5JehbeIb2JcMdfQYmRcgFLQWeTCn2BU|kr|master|쿠쟈니|104|I|81|65|False|False|True|False|3879|1596021985000|143
uGooOuV4vgMj7KGTEDDTkbX5c3o7TcNuladHOjxffHaTw2kvbwdSEwWZ-zY0lK1--gFgFzFP9A1C-A|WJHRIUY4WgpBggnnDi_pQ_NMDkBj9fkJ5WavG2Np6XKNL80|zNIWF0dv-Qau6--U4e6mF0WLL87_1izHiryGe-NyHhZDa8w|kr|master|벽장 속 하마|228|I|242|226|False|False|False|False|4574|1596018159000|281
tw2YitwFjEauhXFrsjeJT6QxvvJKDeM7yxIdlZG7HfCwr64h-H33frfHM16WSr45x-D37r7mLHogDg|3Uis2FvM8PzaPrjBgmUoEGBccYFg9l4dYqXcbp6Ohh5GZWk|oejs8i1206IifVI6mpxv5oAMHMsNHP3UDL8CJHuWS2I5O8I|kr|master|월 밀|0|I|222|204|False|False|False|True|4656|1596134313000|233
TtgwXTpNfnfDdExjWMZlAmGr-fGZINxdovwcMzH0WkewTCiHZvLHlijbmb8qA3hhsmwLDYxzw4OCpA|xVEasHJFgCqMnsVaGHAZS0icQmguowNBt_CFeMy2hkDz|qxRYl3RsLR6zrYT_HCRvPEziXiZR1RQDHUDDmxnWtBL3Msc|kr|master|쟝 삐에르 마뉘엘|217|I|572|550|False|False|True|False|4661|1596011468000|387
